StartingPoint;EndPoint;RoadName;Direction;Longitude;Latitude;Geopoint;TrafficLoopID;EdgeID;TrafficLoopCode;TrafficLoopLevel
21;84;VIA CESARE BATTISTI;N;11.338.970.003.537;444.952.505.129.043;44.4952505129043, 11.338970003537;2;23276104;0.127 1.12 8 1;1
10550;14577;VIA S.DONATO;NE;1.136.840.727.872;445.038.214.672.444;44.5038214672444, 11.36840727872;613;-217109091#1;3.41 3.40 6 1;1
10472;15537;VIA S.DONATO;SO;113.619.295.394.478;445.023.395.686.837;44.5023395686837, 11.3619295394478;626;-32003370#1;3.46 3.49 2 1;1
16743;16744;VIALE ANGELO MASINI;NO;113.491.339.958.475;445.038.321.864.309;44.5038321864309, 11.3491339958475;646;23288767#6;3.54 3.25 4 1;1
6493;6296;VIA PIETRO ALBERTONI;SO;11.364.663.308.063;444.918.173.619.442;44.4918173619442, 11.364663308063;844;24148583;4.6 0.127 8 1;1
6493;6497;VIA GIUSEPPE MASSARENTI;O;113.644.681.870.776;444.922.478.994.202;44.4922478994202, 11.3644681870776;847;23275345#0;4.6 4.8 2 1;1
10306;16750;VIALE CARLO BERTI PICHAT;E;113.533.340.864.516;445.019.966.819.794;44.5019966819794, 11.3533340864516;591;34395278#0;3.33 3.51 8 1;1
10310;10365;VIA GIACOMO MATTEOTTI;N;113.462.085.211.734;445.071.637.543.744;44.5071637543744, 11.3462085211734;550;28771409;3.21 3.21 6 1;1
16721;17477;VIALE PIETRO PIETRAMELLARA;O;113.423.892.562.216;445.053.200.162.569;44.5053200162569, 11.3423892562216;567;150018091#1;3.25 3.52 4 1;1
10239;14167;PIAZZA XX SETTEMBRE;E;113.460.270.545.661;445.045.986.415.698;44.5045986415698, 11.3460270545661;568;23184327#1;3.25 3.54 8 1;1
10596;14552;VIA STALINGRADO;S;113.553.386.803.718;44.507.538.306.608;44.507538306608, 11.3553386803718;587;39673908#1;3.32 3.33 2 1;1
10282;10285;VIA MASCARELLA;S;113.506.269.985.056;44.499.881.148.648;44.499881148648, 11.3506269985056;589;34395064#2;3.33 1.2 2 1;1
6436;6447;VIA MAZZINI;O;113.688.667.208.871;444.857.601.759.854;44.4857601759854, 11.3688667208871;719;253811695#2;4.16 4.17 2 1;1
6437;6450;VIA LAURA BASSI VERATTI;SO;11.368.146.989.867;444.842.744.795.473;44.4842744795473, 11.368146989867;909;23296256#1;4.93 4.39 8 2;1
16771;16768;VIALE GIOVANNI GOZZADINI;E;113.496.520.720.243;444.851.510.112.396;44.4851510112396, 11.3496520720243;811;135982510#0;4.44 4.41 4 1;1
6358;16328;VIA DANTE;E;113.581.757.757.654;444.873.862.282.118;44.4873862282118, 11.3581757757654;808;-135982498#0;4.43 4.95 6 1;1
6346;6347;VIALE GIOVANNI GOZZADINI;O;113.554.769.864.748;444.846.020.155.325;44.4846020155325, 11.3554769864748;801;135982489;4.41 4.44 8 1;1
6436;6457;VIA PIETRO MENGOLI;N;113.692.907.200.912;444.857.828.065.715;44.4857828065715, 11.3692907200912;720;23510937;4.16 4.86 4 1;1
6374;6373;VIA MAZZINI;E;113.626.671.793.686;444.880.373.552.272;44.4880373552272, 11.3626671793686;726;149955205#2;4.18 4.17 6 1;1
6374;6363;PIAZZA TRENTO E TRIESTE;S;113.623.634.887.564;444.880.376.015.462;44.4880376015462, 11.3623634887564;728;-260210046;4.18 4.95 8 1;1
16758;6475;VIALE GIAN BATTISTA ERCOLANI;N;113.576.145.615.716;444.907.515.867.996;44.4907515867996, 11.3576145615716;731;83078456#0;4.19 4.9 4 1;1
6400;6401;VIA LAURA BASSI VERATTI;SO;113.670.159.912.373;444.825.933.334.386;44.4825933334386, 11.3670159912373;791;132106763;4.39 4.31 8 1;1
16719;10164;VIA AMEDEO PARMEGGIANI;O;11.334.154.495.013;445.033.996.741.291;44.5033996741291, 11.334154495013;664;34524142#2;3.8 3.6 6 1;1
6549;6547;VIA MASSENZIO MASIA;E;113.639.030.753.375;444.972.438.606.922;44.4972438606922, 11.3639030753375;297;299421433;0.127 4.7 6 1;1
16758;6475;VIALE GIAN BATTISTA ERCOLANI;N;113.572.791.735.248;444.935.843.360.608;44.4935843360608, 11.3572791735248;326;301242139;0.127 4.9 10 1;2
6379;6400;VIA GIUSEPPE MEZZOFANTI;O;113.674.104.651.167;44.482.664.056.567;44.482664056567, 11.3674104651167;261;32497919#2;0.127 4.39 2 1;1
14935;10507;VIA ERMETE ZACCONI;SE;113.648.198.856.497;445.040.583.577.683;44.5040583577683, 11.3648198856497;160;25155146#2;0.127 3.42 8 1;1
8814;8839;VIA VITTORIO VENETO;N;113.215.733.072.765;445.009.942.351.004;44.5009942351004, 11.3215733072765;60;-23289817;0.127 2.33 6 1;1
27;16657;VIA MALPERTUSO;S;113.336.294.462.509;444.889.905.210.763;44.4889905210763, 11.3336294462509;279;23276195#0;0.127 4.47 6 1;1
6363;6374;PIAZZA TRENTO E TRIESTE;N;113.618.591.024.157;444.872.279.237.758;44.4872279237758, 11.3618591024157;916;260210045;4.95 4.18 4 1;1
8838;8835;VIA AURELIO SAFFI;E;11.324.532.869.825;445.001.722.736.237;44.5001722736237, 11.324532869825;481;23289608#3;2.34 2.35 8 1;1
15233;8834;VIA AURELIO SAFFI;O;113.266.685.739.012;444.994.937.005.152;44.4994937005152, 11.3266685739012;484;23289608#0;2.35 2.34 4 1;1
4657;4539;VIA SARAGOZZA;SO;113.208.167.613.095;444.896.143.680.428;44.4896143680428, 11.3208167613095;518;40062856;2.95 2.4 6 1;1
4539;4657;VIA SARAGOZZA;NE;113.209.092.063.132;444.895.928.457.479;44.4895928457479, 11.3209092063132;519;96199140#3;2.95 2.5 2 1;1
10164;10225;VIA FRANCESCO ZANARDI;NO;113.324.380.441.526;445.039.069.666.396;44.5039069666396, 11.3324380441526;654;23296535#5;3.6 3.5 6 1;1
15170;15174;VIA IRNERIO;E;113.473.933.293.812;44.500.438.454.732;44.500438454732, 11.3473933293812;368;-260481406#8;1.4 1.3 8 1;1
10245;15168;VIA IRNERIO;E;113.464.045.268.346;445.006.745.125.564;44.5006745125564, 11.3464045268346;370;-260481406#9;1.4 1.4 8 1;1
10245;10246;VIA IRNERIO;O;113.460.261.260.327;445.008.471.200.629;44.5008471200629, 11.3460261260327;371;260481406#10;1.4 1.5 4 1;1
87;81;PIAZZA MALPIGHI;N;113.368.384.334.514;444.956.026.276.631;44.4956026276631, 11.3368384334514;379;-183743755;1.8 1.11 6 1;1
10202;10200;VIA DELLE LAME;NO;11.333.447.903.251;445.020.728.531.246;44.5020728531246, 11.333447903251;346;39216791#3;1.10 3.7 6 2;1
6257;6140;PIAZZA ALDROVANDI;S;113.518.989.012.041;444.940.776.815.813;44.4940776815813, 11.3518989012041;356;23271629#0;1.16 1.17 8 1;1
6111;6112;VIA GUERRAZZI;S;11.351.582.172.542;444.920.624.946.021;44.4920624946021, 11.351582172542;358;23184464#0;1.17 1.82 8 1;1
6143;6142;VIA DELL'INDIPENDENZA;N;113.426.627.722.195;444.950.576.691.206;44.4950576691206, 11.3426627722195;384;-8116113#9;1.80 1.5 6 1;1
117;6047;VIA MARSILI;E;113.411.645.442.514;444.900.102.626.705;44.4900102626705, 11.3411645442514;355;23271767#0;1.14 1.15 4 1;1
6135;6137;VIA BORGONUOVO;NE;113.509.026.754.331;444.923.692.879.684;44.4923692879684, 11.3509026754331;10;23276410#1;0.127 1.17 4 1;1
15179;15170;VIA DEL PALLONE;S;113.474.244.254.298;445.008.152.038.968;44.5008152038968, 11.3474244254298;15;236093296#1;0.127 1.4 2 1;1
10507;17460;VIA S.DONATO;NE;113.652.312.853.814;445.039.553.116.973;44.5039553116973, 11.3652312853814;615;40872975#2;3.42 3.41 6 1;1
10472;10473;VIA S.DONATO;NE;113.626.270.923.076;445.026.727.090.588;44.5026727090588, 11.3626270923076;624;77960510#0;3.46 3.42 6 1;1
16749;16748;VIALE CARLO BERTI PICHAT;NO;113.560.975.779.452;44.501.147.821.906;44.501147821906, 11.3560975779452;639;23288787#3;3.51 3.33 4 1;1
16750;16751;VIALE CARLO BERTI PICHAT;S;113.562.023.758.483;445.006.833.594.316;44.5006833594316, 11.3562023758483;640;34395278#1;3.51 3.50 7 1;1
16750;16751;VIALE CARLO BERTI PICHAT;S;113.561.677.172.331;445.006.846.033.571;44.5006846033571, 11.3561677172331;641;34395278#1;3.51 3.50 8 1;1
10229;16717;VIA CESARE BOLDRINI;O;113.389.815.829.378;44.504.894.787.135;44.504894787135, 11.3389815829378;645;-150608#0;3.52 3.9 6 1;1
10230;17479;VIALE PIETRO PIETRAMELLARA;E;113.417.436.594.088;445.053.500.470.034;44.5053500470034, 11.3417436594088;643;43469290;3.52 3.25 8 1;1
15198;10330;VIALE ANGELO MASINI;SE;113.509.146.910.634;445.029.340.213.656;44.5029340213656, 11.3509146910634;648;23184327#4;3.54 3.33 8 1;1
6572;6575;VIA GIUSEPPE MASSARENTI;O;113.664.465.460.934;444.926.304.041.541;44.4926304041541, 11.3664465460934;830;-119742504#1;4.5 4.6 2 2;1
6550;15539;VIA LIBIA;N;113.656.485.526.299;444.975.747.924.864;44.4975747924864, 11.3656485526299;854;-24589437#0;4.7 3.45 4 1;1
16002;6534;VIA LIBIA;S;113.656.500.588.209;444.959.845.335.512;44.4959845335512, 11.3656500588209;855;24589437#2;4.7 4.6 8 1;1
10489;15568;VIA STALINGRADO;N;113.530.300.177.921;445.026.709.559.231;44.5026709559231, 11.3530300177921;590;-23332076#1;3.33 3.32 6 1;1
10596;13920;VIA STALINGRADO;N;113.556.532.075.512;445.080.530.082.146;44.5080530082146, 11.3556532075512;585;-39673908#0;3.32 3.30 6 1;1
15486;16716;VIA PAOLO BOVI CAMPEGGI;O;113.370.712.758.788;445.051.651.583.591;44.5051651583591, 11.3370712758788;679;148678215#0;3.9 0.127 6 1;1
16717;10230;VIALE PIETRO PIETRAMELLARA;NE;113.388.308.573.875;445.052.920.964.529;44.5052920964529, 11.3388308573875;680;151824736#2;3.9 3.52 8 1;1
16723;15570;VIA GIACOMO MATTEOTTI;N;11.345.605.840.437;445.051.473.712.216;44.5051473712216, 11.345605840437;564;23184329#0;3.25 3.21 6 1;1
10596;13920;VIA STALINGRADO;N;113.555.282.015.322;445.079.150.722.029;44.5079150722029, 11.3555282015322;586;39673908#0;3.32 3.32 2 3;1
6476;6474;VIA GIOVANNA ZACCHERINI ALVISI;N;113.605.470.479.019;444.932.095.746.169;44.4932095746169, 11.3605470479019;864;23213604#0;4.8 0.127 4 1;1
6476;16169;VIA GIUSEPPE MASSARENTI;NO;113.602.888.451.438;44.493.202.720.922;44.493202720922, 11.3602888451438;865;23275345#6;4.8 4.9 2 1;1
6475;16757;PIAZZA DI PORTA S.VITALE;N;113.572.051.758.316;444.941.315.096.865;44.4941315096865, 11.3572051758316;895;23210836#0;4.9 3.50 4 1;1
6400;16338;VIA GIUSEPPE MEZZOFANTI;NO;113.667.176.695.924;444.829.285.635.813;44.4829285635813, 11.3667176695924;792;132106761#0;4.39 4.40 2 1;1
16767;16766;VIALE GIOSUE' CARDUCCI;SO;113.577.870.726.647;444.856.164.898.333;44.4856164898333, 11.3577870726647;803;23288872#5;4.42 4.41 8 1;1
6358;6357;VIALE GIOSUE' CARDUCCI;N;113.579.148.059.143;444.875.616.072.423;44.4875616072423, 11.3579148059143;806;23288888#3;4.43 4.19 4 1;1
16668;16666;VIALE ENRICO PANZACCHI;E;113.446.657.559.792;444.857.569.454.701;44.4857569454701, 11.3446657559792;814;23288923#2;4.45 4.44 4 1;1
16657;16652;VIALE ANTONIO ALDINI;NO;113.330.972.864.426;444.889.773.127.449;44.4889773127449, 11.3330972864426;820;23288931#4;4.47 2.6 8 1;1
6564;6365;VIA FILIPPO SCHIASSI;O;11.366.852.870.170.100;4.448.919.574.976.590;44.48919574976592, 11.366852870170122;876;260210806#2;4.86 4.87 2 1;1
6562;6365;VIA PELAGIO PALAGI;N;11.366.198.373.070.200;4.448.954.045.339.870;44.48954045339875, 11.366198373070214;880;23275370#3;4.87 4.88 4 1;1
6363;6370;PIAZZA TRENTO E TRIESTE;O;113.613.621.979.951;444.872.267.306.038;44.4872267306038, 11.3613621979951;917;150052414#0;4.95 4.43 2 1;1
6363;16331;VIA LEANDRO ALBERTI;E;113.621.500.984.113;444.868.432.793.297;44.4868432793297, 11.3621500984113;918;-150052413#1;4.95 4.94 6 1;1
16759;16760;VIALE GIAN BATTISTA ERCOLANI;S;113.570.501.201.105;444.936.020.201.609;44.4936020201609, 11.3570501201105;896;23213150#1;4.9 4.19 8 1;1
6436;6437;VIA LAURA BASSI VERATTI;SO;113.689.627.200.264;444.854.695.973.734;44.4854695973734, 11.3689627200264;721;23296256#0;4.16 4.93 8 1;1
6435;6369;VIA ERNESTO MASI;SO;113.662.227.082.545;444.865.385.884.469;44.4865385884469, 11.3662227082545;725;23296246;4.17 4.94 8 1;1
10163;10231;VIALE PIETRO PIETRAMELLARA;NE;113.352.837.495.726;445.034.933.840.525;44.5034933840525, 11.3352837495726;666;131881840#2;3.8 3.9 8 1;1
6374;16321;VIA MAZZINI;O;113.622.854.366.802;444.882.460.506.983;44.4882460506983, 11.3622854366802;727;149955205#1;4.18 4.19 2 1;1
6301;15062;VIA AUGUSTO MURRI;SE;113.589.294.955.386;444.828.926.506.319;44.4828926506319, 11.3589294955386;774;135982515#5;4.33 4.32 6 1;1
14905;15572;VIA FRANCESCO ZANARDI;NE;113.307.191.675.915;445.065.977.216.555;44.5065977216555, 11.3307191675915;634;23296535#8;3.5 3.4 6 1;1
14905;10225;VIA FRANCESCO ZANARDI;SE;113.311.753.655.196;445.056.966.384.686;44.5056966384686, 11.3311753655196;609;-23296535#7;3.4 3.5 2 2;1
6474;6476;VIA GIOVANNA ZACCHERINI ALVISI;S;113.605.177.839.404;44.493.348.493.034;44.493348493034, 11.3605177839404;313;23213604#0;0.127 4.8 8 1;1
6344;16762;VIA DANTE;E;113.575.279.049.738;444.873.319.692.205;44.4873319692205, 11.3575279049738;265;-135982498#4;0.127 4.43 6 1;1
16816;10229;VIA CESARE BOLDRINI;O;113.413.820.511.251;445.044.936.353.516;44.5044936353516, 11.3413820511251;170;148678210#2;0.127 3.52 4 1;1
4663;4664;VIA ALESSANDRO GUIDOTTI;S;113.260.133.446.752;444.905.328.608.867;44.4905328608867, 11.3260133446752;70;35204667#2;0.127 2.5 4 1;1
16675;16677;VIALE CARLO PEPOLI;N;113.287.720.902.502;444.937.218.654.403;44.4937218654403, 11.3287720902502;27;23837909#5;0.127 2.10 10 1;2
16683;16679;VIALE GIOVANNI VICINI;SE;11.328.173.238.949;444.948.641.751.239;44.4948641751239, 11.328173238949;28;23288957#5;0.127 2.10 10 2;2
5978;5969;VIA ALFONSO RUBBIANI;S;113.445.173.357.761;44.486.100.720.565;44.486100720565, 11.3445173357761;270;236468429#2;0.127 4.45 6 1;1
10208;10163;VIA DON GIOVANNI MINZONI;O;11.335.322.475.296;445.031.859.752.796;44.5031859752796, 11.335322475296;186;-150606#0;0.127 3.8 6 1;1
5976;5969;VIALE ENRICO PANZACCHI;NO;113.445.650.984.305;444.859.117.290.496;44.4859117290496, 11.3445650984305;272;135982476#1;0.127 4.45 10 2;2
8839;8814;VIA VITTORIO VENETO;SO;113.215.190.419.811;445.010.742.719.742;44.5010742719742, 11.3215190419811;476;23289817;2.33 0.127 2 1;1
16684;16686;VIALE GIOVANNI VICINI;S;113.268.760.258.863;44.498.954.845.287;44.498954845287, 11.3268760258863;483;151772099;2.35 2.21 6 1;1
